  Oxygen Enu=  1.2 GeV  M_A=1.0 GeV
  Q2=  0.0199999996 Dis_nu=  7.27387412 Dis_anu=  6.71041915
  per nuc Dis_nu=  0.909234265 Dis_anu=  0.838802394
  Q2=  0.0399999991 Dis_nu=  9.55174007 Dis_anu=  8.18265952
  per nuc Dis_nu=  1.19396751 Dis_anu=  1.02283244
  Q2=  0.0599999987 Dis_nu=  10.9884588 Dis_anu=  8.78341996
  per nuc Dis_nu=  1.37355735 Dis_anu=  1.09792749
  Q2=  0.0799999982 Dis_nu=  11.7327709 Dis_anu=  8.78503838
  per nuc Dis_nu=  1.46659636 Dis_anu=  1.0981298
  Q2=  0.100000001 Dis_nu=  12.2761743 Dis_anu=  8.63867835
  per nuc Dis_nu=  1.53452179 Dis_anu=  1.07983479
  Q2=  0.119999997 Dis_nu=  12.3691472 Dis_anu=  8.20158833
  per nuc Dis_nu=  1.5461434 Dis_anu=  1.02519854
  Q2=  0.140000001 Dis_nu=  12.3633703 Dis_anu=  7.7428151
  per nuc Dis_nu=  1.54542129 Dis_anu=  0.967851887
  Q2=  0.159999996 Dis_nu=  12.1793533 Dis_anu=  7.21771334
  per nuc Dis_nu=  1.52241916 Dis_anu=  0.902214167
  Q2=  0.180000007 Dis_nu=  11.8525565 Dis_anu=  6.65681556
  per nuc Dis_nu=  1.48156957 Dis_anu=  0.832101945
  Q2=  0.200000003 Dis_nu=  11.4479998 Dis_anu=  6.10135745
  per nuc Dis_nu=  1.43099998 Dis_anu=  0.762669681
  Q2=  0.219999999 Dis_nu=  10.9937701 Dis_anu=  5.56614488
  per nuc Dis_nu=  1.37422126 Dis_anu=  0.69576811
  Q2=  0.25 Dis_nu=  10.3420188 Dis_anu=  4.8581206
  per nuc Dis_nu=  1.29275236 Dis_anu=  0.607265075
  Q2=  0.300000012 Dis_nu=  9.33688934 Dis_anu=  3.88818702
  per nuc Dis_nu=  1.16711117 Dis_anu=  0.486023377
  Q2=  0.400000006 Dis_nu=  7.61881705 Dis_anu=  2.52220042
  per nuc Dis_nu=  0.952352132 Dis_anu=  0.315275053
  Q2=  0.5 Dis_nu=  6.24334608 Dis_anu=  1.65758994
  per nuc Dis_nu=  0.78041826 Dis_anu=  0.207198742
  Q2=  0.600000024 Dis_nu=  5.14622892 Dis_anu=  1.09990216
  per nuc Dis_nu=  0.643278615 Dis_anu=  0.13748777
  Q2=  0.699999988 Dis_nu=  4.26946668 Dis_anu=  0.735177542
  per nuc Dis_nu=  0.533683334 Dis_anu=  0.0918971927
  Q2=  0.800000012 Dis_nu=  3.56562251 Dis_anu=  0.494396768
  per nuc Dis_nu=  0.445702814 Dis_anu=  0.061799596
  Q2=  0.899999976 Dis_nu=  2.99736448 Dis_anu=  0.334617504
  per nuc Dis_nu=  0.37467056 Dis_anu=  0.041827188
  Q2=  1. Dis_nu=  2.53577786 Dis_anu=  0.228511111
  per nuc Dis_nu=  0.316972232 Dis_anu=  0.0285638888
  Q2=  1.10000002 Dis_nu=  2.15864362 Dis_anu=  0.158348477
  per nuc Dis_nu=  0.269830453 Dis_anu=  0.0197935596
  Q2=  1.20000005 Dis_nu=  1.79060548 Dis_anu=  0.110423073
  per nuc Dis_nu=  0.223825685 Dis_anu=  0.0138028842
  Q2=  1.29999995 Dis_nu=  1.40638075 Dis_anu=  0.0761445387
  per nuc Dis_nu=  0.175797594 Dis_anu=  0.00951806734
  Q2=  1.39999998 Dis_nu=  1.0499232 Dis_anu=  0.0516424743
  per nuc Dis_nu=  0.131240399 Dis_anu=  0.00645530928
  Q2=  1.5 Dis_nu=  0.742385396 Dis_anu=  0.0341113044
  per nuc Dis_nu=  0.0927981745 Dis_anu=  0.00426391305
  Q2=  1.60000002 Dis_nu=  0.491628114 Dis_anu=  0.0215926623
  per nuc Dis_nu=  0.0614535142 Dis_anu=  0.00269908278
  Q2=  1.70000005 Dis_nu=  0.298013103 Dis_anu=  0.0127498479
  per nuc Dis_nu=  0.0372516378 Dis_anu=  0.00159373098
  Q2=  1.79999995 Dis_nu=  0.157894259 Dis_anu=  0.00668187752
  per nuc Dis_nu=  0.0197367824 Dis_anu=  0.00083523469
