  Oxygen Enu=  1.2 GeV M_A=1.2 GeV
  Q2=  0.0199999996 Dis_nu=  7.38005844 Dis_anu=  6.80978456
  per nuc Dis_nu=  0.922507305 Dis_anu=  0.85122307
  Q2=  0.0399999991 Dis_nu=  9.82302812 Dis_anu=  8.42117731
  per nuc Dis_nu=  1.22787851 Dis_anu=  1.05264716
  Q2=  0.0599999987 Dis_nu=  11.4447471 Dis_anu=  9.16138448
  per nuc Dis_nu=  1.43059339 Dis_anu=  1.14517306
  Q2=  0.0799999982 Dis_nu=  12.3669387 Dis_anu=  9.28106825
  per nuc Dis_nu=  1.54586734 Dis_anu=  1.16013353
  Q2=  0.100000001 Dis_nu=  13.0870021 Dis_anu=  9.238643
  per nuc Dis_nu=  1.63587526 Dis_anu=  1.15483037
  Q2=  0.119999997 Dis_nu=  13.3286576 Dis_anu=  8.87417181
  per nuc Dis_nu=  1.66608221 Dis_anu=  1.10927148
  Q2=  0.140000001 Dis_nu=  13.4595955 Dis_anu=  8.47168647
  per nuc Dis_nu=  1.68244944 Dis_anu=  1.05896081
  Q2=  0.159999996 Dis_nu=  13.389613 Dis_anu=  7.98169697
  per nuc Dis_nu=  1.67370162 Dis_anu=  0.997712121
  Q2=  0.180000007 Dis_nu=  13.1529349 Dis_anu=  7.43670078
  per nuc Dis_nu=  1.64411686 Dis_anu=  0.929587598
  Q2=  0.200000003 Dis_nu=  12.818601 Dis_anu=  6.88273195
  per nuc Dis_nu=  1.60232512 Dis_anu=  0.860341494
  Q2=  0.219999999 Dis_nu=  12.4166647 Dis_anu=  6.33753291
  per nuc Dis_nu=  1.55208309 Dis_anu=  0.792191614
  Q2=  0.25 Dis_nu=  11.82557 Dis_anu=  5.6045156
  per nuc Dis_nu=  1.47819625 Dis_anu=  0.700564449
  Q2=  0.300000012 Dis_nu=  10.8825037 Dis_anu=  4.57570622
  per nuc Dis_nu=  1.36031296 Dis_anu=  0.571963277
  Q2=  0.400000006 Dis_nu=  9.18569804 Dis_anu=  3.06742165
  per nuc Dis_nu=  1.14821225 Dis_anu=  0.383427706
  Q2=  0.5 Dis_nu=  7.75025531 Dis_anu=  2.06544928
  per nuc Dis_nu=  0.968781914 Dis_anu=  0.258181159
  Q2=  0.600000024 Dis_nu=  6.55366078 Dis_anu=  1.39229195
  per nuc Dis_nu=  0.819207597 Dis_anu=  0.174036494
  Q2=  0.699999988 Dis_nu=  5.56154077 Dis_anu=  0.936719685
  per nuc Dis_nu=  0.695192596 Dis_anu=  0.117089961
  Q2=  0.800000012 Dis_nu=  4.73954982 Dis_anu=  0.627287047
  per nuc Dis_nu=  0.592443727 Dis_anu=  0.0784108808
  Q2=  0.899999976 Dis_nu=  4.05735041 Dis_anu=  0.417177941
  per nuc Dis_nu=  0.507168801 Dis_anu=  0.0521472426
  Q2=  1. Dis_nu=  3.48951745 Dis_anu=  0.275197674
  per nuc Dis_nu=  0.436189681 Dis_anu=  0.0343997093
  Q2=  1.10000002 Dis_nu=  3.01535068 Dis_anu=  0.180263712
  per nuc Dis_nu=  0.376918834 Dis_anu=  0.0225329639
  Q2=  1.20000005 Dis_nu=  2.53546827 Dis_anu=  0.116206418
  per nuc Dis_nu=  0.316933534 Dis_anu=  0.0145258022
  Q2=  1.29999995 Dis_nu=  2.01614944 Dis_anu=  0.0727486203
  per nuc Dis_nu=  0.252018679 Dis_anu=  0.00909357754
  Q2=  1.39999998 Dis_nu=  1.52225047 Dis_anu=  0.0441307325
  per nuc Dis_nu=  0.190281309 Dis_anu=  0.00551634156
  Q2=  1.5 Dis_nu=  1.08762294 Dis_anu=  0.0258016979
  per nuc Dis_nu=  0.135952867 Dis_anu=  0.00322521224
  Q2=  1.60000002 Dis_nu=  0.727223664 Dis_anu=  0.0143877852
  per nuc Dis_nu=  0.090902958 Dis_anu=  0.00179847315
  Q2=  1.70000005 Dis_nu=  0.44478686 Dis_anu=  0.00749739084
  per nuc Dis_nu=  0.0555983576 Dis_anu=  0.000937173855
  Q2=  1.79999995 Dis_nu=  0.237632128 Dis_anu=  0.00349813621
  per nuc Dis_nu=  0.029704016 Dis_anu=  0.000437267026
